text,taggedCategory,type,isMachineCategorised,truthScore
null,Info/News/Opinion,image,false,6.853846153846154
https://www.mas.gov.sg/news/media-releases/2023/mas-statement-on-additional-tier-1-instruments-issued-by-singapore-banks,Info/News/Opinion,text,false,5
TN 95546718362782 is out for del. Allow for contactless del here: https://2g.to/EkEqr/3jI,Legitimate,text,false,5
"🚩🚩🚩 *""You flag, we check""* 🔍🔍🔍

Not sure if a message is legit? Worried about falling victim to scams? Use CheckMate to verify the trustworthiness of dubious messages you come across.

Click https://bit.ly/add-checkmate* to add the crowdsourced-powered bot to your WhatsApp contact.

Whenever you're uncertain about a message, simply forward it to CheckMate. You can send text messages, links, or images!

You will receive an alert whether the message can be trusted or not after it's verified and voted on by a network of trusted volunteers.

That's all there is to it!

Just so you know, CheckMate is not the same as ScamShield  (https://scamshield.org.sg). 

CheckMate focuses on more than just scams; it tackles misinformation too. If a message is identified as a scam, you can choose to have CheckMate forward it to ScamShield on your behalf. To learn more about CheckMate and its collaboration with ScamShield visit https://checkmate.sg. 

Be an early user of CheckMate which was just launched and share your thoughts at https://bit.ly/checkmate-feedback

 _CheckMate is developed by a diverse and multidisciplinary team of volunteers under the #TechForGood non-profit, better.sg. The CheckMates come from all walks of life, but united by a common purpose - to help counter misinformation and scams in the community._",Info/News/Opinion,text,false,5
https://form.gov.sg/63f594b42413ea0011831e7e,Legitimate,text,false,5
"1. National School Games (NSG) 2023 (Secondary Schools): 10 to 25 April at Choa Chu Kang Stadium
    EOI Link: https://form.jotform.com/223399002605452",Legitimate,text,false,5
Well done CheckMate 👏👏👏,Trivial,text,false,5
"https://forceforgood.insead.edu/give

#tooklessthanaminute 🎉",Unsure,text,false,4.5
null,Legitimate,image,false,4.333333333333333
https://www.8world.com/singapore/covid-19-spiked-in-last-two-weeks-docs-say-might-see-further-increase-2087346,Info/News/Opinion,text,false,4.25
"Wear mask in trains, buses and crowded places if you are not well.
Prevention is better than cure.

S’pore Covid-19 Cases Exceed 10,000 For 2 Straight Weeks, Hospitalisation Incidents Also Increase
https://mustsharenews.com/covid-19-cases-march-2023/",Info/News/Opinion,text,false,4.090909090909091
"Hello, no matter how busy work remember to eat Oh",Trivial,text,false,4
"Hey Jolyn! We haven't seen you in the studio yet. Don't worry, we can help you book your first session! What day do you want to come in?",Unsure,text,false,4
"Hi all, especially for our younger colleagues who did not experience the 2008 gfc. What you are seeing now is instructive lesson on so many fronts. While not totally related first svb and not credit suisse. Soon, credit suisse will be a historical footnote. No bank can survive a bank run and its all about confidence regardless of the ratios or theoretical buffer. You should keep track of these developments as it will be lessons for the future.",Info/News/Opinion,text,false,3.888888888888889
"https://www.dailymail.co.uk/health/article-11915563/World-Health-Organization-says-healthy-kids-teens-dont-need-Covid-vaccinations.html

The World Health Organization (WHO) revised its Covid vaccine recommendations and suggested that healthy children and adolescents may not need a shot.

In guidance released Tuesday, the global health agency deemed healthy young people 'low priority' for Covid jabs. 

It said the public health impact of vaccinating healthy children and adolescents is 'much lower than the established benefits of traditional essential vaccines for children' like measles and polio.",Info/News/Opinion,text,false,3.857142857142857
